ID,Priority,pH,Salinity,Notes,OM,Carbonate,Colour,Land_use,Texture,Photo,Day,Text_desc,Coarse_siz,Coarse_per,Coarse_rou,Text_silt,Text_sand,Text_clay,Lat,Long,Sum,Struct,Perm_rock,k_factor,OM_muns,Density,TARGET_FID
18,0,0,0,,2,0,10YR4/4,Pasture,Mown paddock,3881,5,L,7,10,1,41,41,18,42.587163335100001,25.368185,100,3,2,4.428e-002,0.5,1.4199999999999999,18
19,0,0,0,,2,0,10YR3/4,Mown field (lucerne),Clay loam,3882,5,L,0,0,1,41,41,18,42.588141668399999,25.359000000000002,100,3,2,4.1369999999999997e-002,1.5,1.4199999999999999,19
21,0,0,0,S,1,0,10YR3/3,Abandoned plantation,Gravelly loam,4275,9,SCL,5,15,1,15,60,25,42.588816340199998,25.259774651499999,100,2,3,9.9600000000000001e-003,4,1.4099999999999999,21
22,0,0,0,E,1,0,10YR3/3,Verge paddock/forest edge,Clay loam,4274,9,SC,0,0,1,8,51,41,42.589088475799997,25.269343080999999,100,2,4,2.47e-003,4,1.3200000000000001,22
23,0,0,0,,1,0,7.5YR4/6,Rotary hoed field,Loam,3844,4,SL,3,5,1,25,65,10,42.5901850017,25.309519999999999,100,3,2,3.2570000000000002e-002,0.20000000000000001,1.5600000000000001,23
24,0,0,0,N; hydrophobic,1,0,10YR2.5/2,Pine forest,Coarse sandy loam,4289,9,LS,7,25,1,13,82,5,42.590722271300002,25.2461782309,100,1,2,4.6780000000000002e-002,6,1.6899999999999999,24
28,0,0,0,NW,2,0,10YR3/2,Disturbed pine forest,Loam,4304,9,SC,7,10,1,8,51,41,42.592484963300002,25.250103562300001,100,2,4,2.47e-003,4,1.3200000000000001,28
29,0,0,0,N,2,0,10YR3/2,Ploughed field,Light clay,4272,9,SC,2,5,1,8,51,41,42.592987383599997,25.273167538500001,100,2,4,2.47e-003,4,1.3200000000000001,29
27,0,0,0,,2,0,10YR3/2,Fallow field (previously sunflower),Clay loam,3883,5,CL,0,0,1,35,32,33,42.593880001700001,25.361341666600001,100,4,4,2.4e-002,4,1.3200000000000001,27
26,0,0,0,,2,1,10YR3/4,Pasture,Loam,3884,5,CL,4,5,1,35,32,33,42.593930001700002,25.3720233333,100,4,4,2.7359999999999999e-002,2.25,1.3200000000000001,26
30,0,0,0,Compacted due to grazing,1,0,2.5Y3/2,Pasture,Loam,3885,5,L,10,20,1,41,41,18,42.595141668399997,25.380821666599999,100,3,2,3.7019999999999997e-002,3,1.4199999999999999,30
33,0,0,0,W,1,0,10YR3/2,Pasture/grassland,Gravelly,4305.. duplicate,9,SL,5,10,1,25,65,10,42.597041713099998,25.254877424499998,100,3,2,2.742e-002,3,1.5600000000000001,33
35,0,0,0,Adjacent to empty riverbed,1,0,10YR3/4,Thick pine forest,Loam,3843,4,SCL,3,5,1,15,60,25,42.598255001699997,25.312068333300001,100,2,3,1.142e-002,2.25,1.4099999999999999,35
39,0,0,0,S,1,0,10YR3/2,Disturbed scrub/paddock edge,Coarse sandy loam,On desktop of project laptop,9,LS,3,20,1,13,82,5,42.601731619500001,25.254870478400001,100,1,2,1.064e-002,3,1.6899999999999999,39
41,0,0,0,S,2,0,10YR2/2,Ungrazed pasture,Loam,4305... duplicate!,9,SCL,5,5,1,15,60,25,42.603079126899999,25.241587787,100,2,3,2.3290000000000002e-002,9,1.4099999999999999,41
40,0,0,0,,2,1,2.5Y2.5/1,Mown pasture,Light clay,3886,5,SiC,0,0,1,43,8,49,42.603883335100001,25.3754283333,100,4,5,7.6630000000000004e-002,7,1.21,40
45,0,0,0,NW,2,0,10YR2/2,Grazed pasture,Clay loam,4317,9,SC,3,5,1,8,51,41,42.604416186900004,25.238703634,100,2,4,7.43e-003,9,1.3200000000000001,45
46,0,0,0,,2,0,2.5Y3/3,Sown field,Loam,3887,5,CL,0,0,1,35,32,33,42.606845001799996,25.367628333300001,100,4,4,2.4e-002,4,1.3200000000000001,46
47,0,0,0,Hydrophobic,0,0,10YR3/4,Forest (pine),Coarse sandy,3826,4,LS,5,20,1,13,82,5,42.608453335100002,25.304864999999999,100,1,2,1.2030000000000001e-002,1.5,1.6899999999999999,47
49,0,0,0,Hydrophobic,1,0,7.5YR2.5/2,Forest,Unknown,3804,4,LS,15,45,0,13,82,5,42.609383335099999,25.316983333300001,100,1,3,4.3479999999999998e-002,6,1.6899999999999999,49
54,0,0,0,,2,0,2.5Y3/2,Pasture (mixed use),Medium clay,3888,5,CL,10,5,1,35,32,33,42.612906668400001,25.358644999999999,100,4,4,2.4e-002,4,1.3200000000000001,54
60,0,0,0,,1,0,10YR4/4,Pine forest,Sandy loam,3891,5,S,15,10,1,3,95,2,42.615258335100002,25.3312833333,100,1,1,7.6800000000000002e-003,0.45000000000000001,1.73,60
58,0,0,0,,2,0,7.5YR2.5/2,Sown field (grain),Light clay,3890,5,SiC,5,5,1,43,8,49,42.618311668399997,25.348718333299999,100,4,5,7.6630000000000004e-002,7,1.21,58
